店舗ID,店舗名,ジャンル,総合評価,店舗URL,レビュアー,レビュー評価,レビュー日付,レビュー本文
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2024/10訪問
1
回目","練馬駅チカのキレイなマチ焼肉。

いや、なかなか良いです。

黒毛和種中心で、割とリーズナブルなゾーン。
その肉質も、比較的よいほうでした。
肉の切り方は上手で、全体的に厚切り。
そして、カイノミを置いてるのが素晴らしい！

でも、ちゃんと「ザ・マチ焼肉」な、タレロース
も置いてます。で、これがまた、ちゃんと旨い。
お肉は厚めで柔らかく、旨ロース！
タレの甘み・塩味加減もすばらしく、旨タレ！
こうでなくっちゃあ！という感じでした。

あと、絶対に食べるべき逸品は
『生キムチサラダ』ですね。
以前、房家で初めて作り立てキムチを食べて感動
したのですが、それと同じような感じと思います。
注文を受けてから、キムチ味噌的なものを野菜に
和えるそうですが、ほんと旨いです。

子どもは最初のドリンク無料。
最後はピノももらえます。
ベビーカーＯＫで、子連れにはとても良かった。

ホールは外国人お２人でしたが、お２人ともに
真心接客で好感でした。これ大事。


食べた肉は以下です。

■特選４種盛り＠4950円
上カルビ、カイノミ、ミスジ、上タンでした。
すべて厚切りでステーキのようです。
メニュー上は、ここロースのはずが、ミスジにｗ
大サービスですね。
上カルビは三角バラかな？
まー全部最高に旨いですね。
そしてやっぱりカイノミ最高です。

■５秒カルビ＠858円
カルビというか、リブカブリのようにも見えます
が…薄くスライスして、さっと店員さんが焼いて
くれました。

■カルビ＠1078円
上カルビより、こっちのが好き（笑）
これもタレのなせる技かと。

■ここロース＠1078円
これだけ国産交雑牛ですが、冒頭のとおり、
ちょー旨いです。これぞマチ焼肉の真骨頂！


実は会計が、前日の牛蔵とほぼ同額でした。
肉の分量でいうと完全に牛蔵に軍配ですが、
タレの旨さその他、トータルでは僕はこっちかな。
かつてのように、肉のがぶ飲みも出来ませんし（笑）

また利用させていただきたいと思います。"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2024/08訪問
1
回目","全部美味しかった！期待していなかっただけに
めちゃくちゃ美味しくてビックリした。
生キムチも美味しかったし、コース料理に載ってなかったイカ焼き、野菜焼き、鶏のせせりも出てきて大満足！満腹！本当全部美味しかった。
飲み放題つけて、1人10000いかないとか凄すぎる。
是非また行きたい！！"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2024/06訪問
1
回目","たまには贅沢なランチをということで、こちらのお店にお邪魔しました。現在、練馬区のお店ではPayPayの20%還元があり、ちょっとお得に食べれます。

こちらのお店は、今年の4月とのことで、とてもきれいなお店でした。
ランチで、ここ肉御膳1980円をセレクト。ドリンクは150円でジンジャーエールを注文しました。ドリンクは、角ハイボールのジョッキに氷がいっぱいで、お昼からハイボールをいただいてるような気分に。
ここ肉御膳は、ご飯とスープとかわいい牛タンシチュー（肉2つ）、6品の小鉢が付いていました。（ご飯は大盛り無料で、写真は大盛です。）焼肉は、カルビ、ロース、ハラミ、せせりの4種盛りで、いずれも3切れついています。ロースは、カルビと変わらないサシが入っていました。
ちょっと贅沢なランチと考えると、充分満足した焼肉ランチでした。

昨今いろいろの値上がりがあり、1980円のランチでも普通になっていくのかもしれませんね。自分的には1980円のランチは贅沢なランチなのですが、提供された御膳は、ちょっと贅沢なランチでした。食後に、温かいお茶の提供もいただけるようです。会計後に、板ガムを1枚頂戴し、昔の焼肉屋さんを味わったようなノスタルジーを感じながらお店を後にしました。

ごちそうさまでした。"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2024/03訪問
2
回目","浅漬け？生キムチ？がとても美味しかったです。
マッコリが安いのは高ポイントです！
席が広いのが好きで、この店舗はお店の入れ替りが早いですが、どのお店の時もたまに行きたくなります。
ハーフビビンパがハーフじゃなくて私にとっては1人前に感じるので〆に頼んで食べてます♪"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2024/03訪問
1
回目","<利用状況>3.14
平日　ふらっと1人
遅めのディナーだったので、かるーく頼むことにした

平日遅めの時間だから、お店は落ち着いていたよ〜
店員さんの対応もとても丁寧だった！
お値段は量割には少しだけ高いかな？
けど、まぁ、全体的には良かった。

<注文したもの>
◯石焼きビビンバ1200
店員さんが混ぜてくれるよ〜
お米の量はやや少なめかな？
ナムルがたっぷり入っていて、甘辛いコチュジャンで味がまとまってて美味しい！

◯黒毛和牛5秒カルビ780
リブロースの薄切りで1枚つづ焼くすぐ火通ってしまうので、5枚分全部丸めてコンロにおいて焼いたよ〜
インスターで流行ってるのめろー風に仕上げられる✨

食後に温かい薬味茶（葛根湯みたいな味（笑））
とピノ1つくれた♡

ご馳走様でした〜"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2024/03訪問
1
回目","1人でお祝い事があったので焼肉にしよう、とこちらへ。駅から出て少し住宅街の方に入った所にあります。店内は通路とテーブル席がメインの細長い造りで、レジの手前にカウンター席にがありそこに通されました。週末の夜で結構予約も入っているようでした。
思い切って特選4種を注文。中身はカルビ、ハラミ、カイノミ、牛タンでした（多分、看板がないので最初に聞いただけ）。厚みも大きさもしっかりしていたので、1人分としてはたっぷり食べれる量だと思います。山芋キムチ、ライス等を注文し締めて約7000円でした。"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2024/02訪問
1
回目","綺麗目な焼き肉屋さん。タレが甘めで美味しい！
お肉も安くはないけどその分美味しい。
定食もやってるので、1人焼肉にも。月曜の夜に行ったけど、女性の1人ご飯の人も何人かいました。
店員さんも明るく気が利いて、良いお店でした。"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2024/01訪問
1
回目","オープンしてまだ一年も経っていないようです。
初めての訪問でしたが、店員さんも優しく、味もとっても良かったです。
個人的に、あまり食べたことの無いタイプのキムチがお気に入りでした。
また訪問します。"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2024/01訪問
1
回目","前から気になっていて初訪問。
価格帯は牛メロ/肉ばんざいと一都の間くらい。

キムチサラダがさっぱりしてておいしかった。
お肉だと上タンが美味しい。厚切りで大きいので、ハサミでカットして食べました。

あとは、カイノミ、ロース、せせりを食べましたが、どれも、美味しかったです。"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2023/12訪問
1
回目","お店の前はよく通るけど…なかなか入る機会がなかったので奥さんとXmas焼肉してきました。
まずはビール、上タン塩とハラミをタレで注文。
めっちゃ美味しいやん…なんで入るの躊躇してたんだろってちょっと後悔しましたね。
ホルモンを塩で注文したら山葵が付いてきてさっぱりといただけてこちらもおいしかったです。
店内のボードに本日のオススメ『牛タン』とあったのでこちらも比較の為に注文。おいしいけど先に上タン塩を食べてしまっていたので物足りなさを感じてしまいました…ミスった！笑

お昼に食べた上海焼きそばでお腹がそこまで空いてなかったので無理はせずに〆の冷麺を注文。
しっかり量もあったので２つ注文しなくて良かった…おいしかったからいけたと思うけど！

女性の店員さんの接客も良く、気持ち良くXmasディナーが出来ました。

※ハラミ・タレ 写真撮るの忘れてる…"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2023/08訪問
1
回目","ここ肉練馬店は、2023年4月にオープンした焼肉屋さん！
店内は明るく、とても落ち着いた雰囲気で、テーブルには綺麗なロースター。
山形牛の豪華な焼肉ランチが人気で、美味しくてリーズナブルにご提供してるそうです！
また、店長さんの接客も魅力で、チャーミングな接客が素晴らしい

練馬駅から徒歩5分のところにあり、地元の人々に愛される美味しいお店を目指し気取らない雰囲気で普段着で行ける焼肉屋さん！

焼肉ここ肉練馬店は、美味しいお肉と温かいおもてなしを提供する素晴らしい焼肉屋さん！
練馬に行った際はぜひまた行かせていただきます！

#焼肉ここ肉練馬店
#ここ肉練馬
#練馬焼肉
#おいしい焼肉
#おもてなし
#ランチ焼肉
#山形牛
#リーズナブルな価格
#ロースター完備"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2023/08訪問
1
回目","【練馬グルメ】

『焼肉ここ肉』へ行ってきました♪
こちらのお店は、お肉の直営店なので
高品質で美味しいお肉を楽しめます

お肉以外も瀬戸内レモンの入った
『ここハイボール』もオススメです
ハイボールと一緒にレモンの酸味が口の中をサッパリさせてくれます(๑˃̵ᴗ˂̵)

『自家製生キムチサラダ』もピリッとクセになる辛さで美味しいぃ〜〜✨
漬物ではない新鮮な野菜のシャキシャキ感とお肉を一緒に食べるのもまた最高でした〜d(^_^o)✨✨

食べたもの
☆ここ肉特製生キムチサラダ
キムチ盛り合わせ

☆上タン塩

☆ここロース

☆イカ焼き

店内もとても綺麗でゆっくり焼肉を堪能できるお店でした(o^^o)

東京都練馬区練馬1-21-6 NPPビル1F
練馬駅南出口から徒歩約2分
練馬駅A1出口から徒歩約3分
桜台(東京都)駅北出口から徒歩約7分"
13283399,ここ肉,焼肉,3.23,https://tabelog.com/tokyo/A1321/A132102/13283399,,,"2023/07訪問
1
回目","久しぶりに息子と来てみました。一応15分後に行くと電話したが対応してくれた韓国人？男子店員さんがまぁ丁寧で元気でとても気持ち良い！
相変わらず呑み始めるとロースやカルビ、ハラミ等など写真は忘れました笑
中々なレベルだと思いますよ！おすすめな焼肉屋さんです。"
